Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A
Azerbaijan,European Region of WHO,Western Asia,2011,10,3/7/11,3/13/11,,48,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,11,3/14/11,3/20/11,,38,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,12,3/21/11,3/27/11,,4,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,13,3/28/11,4/3/11,,36,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,14,4/4/11,4/10/11,,14,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,15,4/11/11,4/17/11,,26,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,16,4/18/11,4/24/11,,6,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,17,4/25/11,5/1/11,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,18,5/2/11,5/8/11,,20,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,19,5/9/11,5/15/11,,10,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,21,5/23/11,5/29/11,,10,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,22,5/30/11,6/5/11,,8,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,24,6/13/11,6/19/11,,30,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,25,6/20/11,6/26/11,,16,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,26,6/27/11,7/3/11,,16,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,27,7/4/11,7/10/11,,16,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,28,7/11/11,7/17/11,,12,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,29,7/18/11,7/24/11,,12,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,30,7/25/11,7/31/11,,6,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,32,8/8/11,8/14/11,,10,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,33,8/15/11,8/21/11,,16,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,34,8/22/11,8/28/11,,18,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,35,8/29/11,9/4/11,,8,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,36,9/5/11,9/11/11,,8,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,37,9/12/11,9/18/11,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,38,9/19/11,9/25/11,,12,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,39,9/26/11,10/2/11,,4,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,40,10/3/11,10/9/11,,6,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,41,10/10/11,10/16/11,,10,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,42,10/17/11,10/23/11,,4,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,43,10/24/11,10/30/11,,14,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,45,11/7/11,11/13/11,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,46,11/14/11,11/20/11,,6,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,47,11/21/11,11/27/11,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,48,11/28/11,12/4/11,,26,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,49,12/5/11,12/11/11,,20,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,50,12/12/11,12/18/11,,4,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,51,12/19/11,12/25/11,,4,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,52,12/26/11,1/1/12,,6,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,1,1/2/12,1/8/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,2,1/9/12,1/15/12,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,3,1/16/12,1/22/12,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,4,1/23/12,1/29/12,,10,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,5,1/30/12,2/5/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,7,2/13/12,2/19/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,8,2/20/12,2/26/12,,4,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,9,2/27/12,3/4/12,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,10,3/5/12,3/11/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,12,3/19/12,3/25/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,13,3/26/12,4/1/12,,4,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,14,4/2/12,4/8/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,15,4/9/12,4/15/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,16,4/16/12,4/22/12,,4,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,17,4/23/12,4/29/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,19,5/7/12,5/13/12,,4,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,20,5/14/12,5/20/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,21,5/21/12,5/27/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,22,5/28/12,6/3/12,,4,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,23,6/4/12,6/10/12,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,24,6/11/12,6/17/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,25,6/18/12,6/24/12,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,27,7/2/12,7/8/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,28,7/9/12,7/15/12,,6,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,30,7/23/12,7/29/12,,6,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,31,7/30/12,8/5/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,32,8/6/12,8/12/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,33,8/13/12,8/19/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,34,8/20/12,8/26/12,,2,0,0,0,,2,2
Azerbaijan,European Region of WHO,Western Asia,2012,35,8/27/12,9/2/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,36,9/3/12,9/9/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,37,9/10/12,9/16/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,38,9/17/12,9/23/12,,8,0,0,0,,4,4
Azerbaijan,European Region of WHO,Western Asia,2012,39,9/24/12,9/30/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,41,10/8/12,10/14/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,42,10/15/12,10/21/12,,20,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,43,10/22/12,10/28/12,,8,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,44,10/29/12,11/4/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,45,11/5/12,11/11/12,,4,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,46,11/12/12,11/18/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,47,11/19/12,11/25/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,48,11/26/12,12/2/12,,8,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,49,12/3/12,12/9/12,,8,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,50,12/10/12,12/16/12,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,51,12/17/12,12/23/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2012,52,12/24/12,12/30/12,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,2,1/7/13,1/13/13,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,3,1/14/13,1/20/13,,8,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,4,1/21/13,1/27/13,,28,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,5,1/28/13,2/3/13,,114,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,6,2/4/13,2/10/13,,58,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,7,2/11/13,2/17/13,,24,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,8,2/18/13,2/24/13,,82,0,0,2,,0,2
Azerbaijan,European Region of WHO,Western Asia,2013,9,2/25/13,3/3/13,,50,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,11,3/11/13,3/17/13,,24,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,12,3/18/13,3/24/13,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,13,3/25/13,3/31/13,,30,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,14,4/1/13,4/7/13,,46,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,15,4/8/13,4/14/13,,30,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,16,4/15/13,4/21/13,,64,0,0,2,,8,10
Azerbaijan,European Region of WHO,Western Asia,2013,17,4/22/13,4/28/13,,20,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,18,4/29/13,5/5/13,,30,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,19,5/6/13,5/12/13,,20,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,20,5/13/13,5/19/13,,14,0,0,2,,0,2
Azerbaijan,European Region of WHO,Western Asia,2013,21,5/20/13,5/26/13,,26,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,22,5/27/13,6/2/13,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,23,6/3/13,6/9/13,,4,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,24,6/10/13,6/16/13,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,25,6/17/13,6/23/13,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,26,6/24/13,6/30/13,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,27,7/1/13,7/7/13,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,28,7/8/13,7/14/13,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,29,7/15/13,7/21/13,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,30,7/22/13,7/28/13,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,31,7/29/13,8/4/13,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,32,8/5/13,8/11/13,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,33,8/12/13,8/18/13,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,34,8/19/13,8/25/13,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,35,8/26/13,9/1/13,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,36,9/2/13,9/8/13,,4,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,37,9/9/13,9/15/13,,4,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,38,9/16/13,9/22/13,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,39,9/23/13,9/29/13,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,40,9/30/13,10/6/13,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,41,10/7/13,10/13/13,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,42,10/14/13,10/20/13,,24,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,43,10/21/13,10/27/13,,68,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,44,10/28/13,11/3/13,,148,0,0,0,,4,4
Azerbaijan,European Region of WHO,Western Asia,2013,45,11/4/13,11/10/13,,68,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,46,11/11/13,11/17/13,,64,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,47,11/18/13,11/24/13,,212,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,48,11/25/13,12/1/13,,200,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,49,12/2/13,12/8/13,,74,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,50,12/9/13,12/15/13,,112,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,51,12/16/13,12/22/13,,42,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2013,52,12/23/13,12/29/13,,64,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,1,12/30/13,1/5/14,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,2,1/6/14,1/12/14,,18,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,3,1/13/14,1/19/14,,11,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,4,1/20/14,1/26/14,,36,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,5,1/27/14,2/2/14,,20,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,6,2/3/14,2/9/14,,52,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,7,2/10/14,2/16/14,,32,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,8,2/17/14,2/23/14,,78,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,9,2/24/14,3/2/14,,55,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,10,3/3/14,3/9/14,,57,0,0,0,,2,2
Azerbaijan,European Region of WHO,Western Asia,2014,11,3/10/14,3/16/14,,56,0,0,0,,7,7
Azerbaijan,European Region of WHO,Western Asia,2014,12,3/17/14,3/23/14,,12,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,13,3/24/14,3/30/14,,7,0,0,0,,1,1
Azerbaijan,European Region of WHO,Western Asia,2014,14,3/31/14,4/6/14,,55,0,0,0,,10,10
Azerbaijan,European Region of WHO,Western Asia,2014,15,4/7/14,4/13/14,,1,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,16,4/14/14,4/20/14,,16,0,0,0,,3,3
Azerbaijan,European Region of WHO,Western Asia,2014,17,4/21/14,4/27/14,,45,0,0,0,,1,1
Azerbaijan,European Region of WHO,Western Asia,2014,18,4/28/14,5/4/14,,19,0,0,0,,2,2
Azerbaijan,European Region of WHO,Western Asia,2014,19,5/5/14,5/11/14,,6,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,20,5/12/14,5/18/14,,1,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,21,5/19/14,5/25/14,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,22,5/26/14,6/1/14,,9,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,23,6/2/14,6/8/14,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,24,6/9/14,6/15/14,,1,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,25,6/16/14,6/22/14,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,40,9/29/14,10/5/14,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,41,10/6/14,10/12/14,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,42,10/13/14,10/19/14,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,43,10/20/14,10/26/14,,2,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,44,10/27/14,11/2/14,,6,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,45,11/3/14,11/9/14,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,46,11/10/14,11/16/14,,45,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,47,11/17/14,11/23/14,,81,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,48,11/24/14,11/30/14,,155,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2014,49,12/1/14,12/7/14,,80,0,0,1,,0,1
Azerbaijan,European Region of WHO,Western Asia,2014,50,12/8/14,12/14/14,,68,0,0,2,,0,2
Azerbaijan,European Region of WHO,Western Asia,2014,51,12/15/14,12/21/14,,145,0,0,3,,3,6
Azerbaijan,European Region of WHO,Western Asia,2014,52,12/22/14,12/28/14,,104,,0,2,,0,2
Azerbaijan,European Region of WHO,Western Asia,2015,2,1/5/15,1/11/15,,48,,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2015,4,1/19/15,1/25/15,,26,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2015,5,1/26/15,2/1/15,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2015,6,2/2/15,2/8/15,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2015,7,2/9/15,2/15/15,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2015,8,2/16/15,2/22/15,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2015,9,2/23/15,3/1/15,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2015,10,3/2/15,3/8/15,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2015,11,3/9/15,3/15/15,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2015,12,3/16/15,3/22/15,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2015,13,3/23/15,3/29/15,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2015,14,3/30/15,4/5/15,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2015,15,4/6/15,4/12/15,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2015,16,4/13/15,4/19/15,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2015,17,4/20/15,4/26/15,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2015,18,4/27/15,5/3/15,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2015,19,5/4/15,5/10/15,,0,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2015,20,5/11/15,5/17/15,,0,0,0,0,,0,0
